Property Name,Visits,Values Accumulated,Trial Number,Position Number
First_chance,1,1,0,7
White_hall,1,100,1,13
Bow_street,1,140,2,16
Free_parking,1,1,3,20
Fenchchurch_station,1,250,4,25
Picadilly,1,240,5,29
Oxford_street,1,260,6,32
Third_chance,1,1,7,36
Go,1,1,8,0
Pentoville,1,80,9,9
Northhumber,1,120,10,14
Second_community_chest,1,1,11,17
Picadilly,2,480,12,29
Go,2,2,13,0
Pentoville,2,160,14,9
Pall_mall,1,100,15,11
Bow_street,2,280,16,16
Strand,1,180,17,21
Conventry_street,1,220,18,27
Go_to_jail,1,1,19,30
White_hall,2,200,20,13
Fenchchurch_station,2,500,21,25
Water_works,1,80,22,28
Regent_street,1,260,23,31
Mayfair,1,500,24,39
Income_Tax,1,2000,25,4
First_chance,2,2,26,7
Northhumber,2,240,27,14
Free_parking,2,2,28,20
Water_works,2,160,29,28
Parklane,1,350,30,37
First_community_chest,1,1,31,2
The_angel_islington,1,60,32,6
White_hall,3,300,33,13
Fenchchurch_station,3,750,34,25
Parklane,2,700,35,37
Income_Tax,2,4000,36,4
Electric_company,1,80,37,12
Strand,2,360,38,21
Oxford_street,2,520,39,32
Old_kent,1,20,40,1
White_chapel,1,40,41,3
Pentoville,3,240,42,9
Free_parking,3,3,43,20
Conventry_street,2,440,44,27
Third_community_chest,1,1,45,33
Income_Tax,3,6000,46,4
The_angel_islington,2,120,47,6
Second_community_chest,2,2,48,17
Picadilly,3,720,49,29
Old_kent,2,40,50,1
King_cross_station,1,250,51,5
White_hall,4,400,52,13
Marlborough_street,1,140,53,18
Strand,3,540,54,21
Water_works,3,240,55,28
Go_to_jail,2,2,56,30
Marlborough_street,2,280,57,18
Transfalgar_square,1,200,58,24
Liverpool_station,1,250,59,35
First_chance,3,3,60,7
Vine_street,1,160,61,19
Transfalgar_square,2,400,62,24
Water_works,4,320,63,28
Oxford_street,3,780,64,32
Supertax,1,1000,65,38
Go,3,3,66,0
Euston,1,60,67,8
Vine_street,2,320,68,19
Picadilly,4,960,69,29
Go,4,4,70,0
Electric_company,2,160,71,12
Strand,4,720,72,21
Go_to_jail,3,3,73,30
Maryleborne_station,1,250,74,15
Marlborough_street,3,420,75,18
Picadilly,5,1200,76,29
Parklane,3,1050,77,37
Old_kent,3,60,78,1
Electric_company,3,240,79,12
Second_community_chest,3,3,80,17
Conventry_street,3,660,81,27
Third_chance,2,2,82,36
White_chapel,2,80,83,3
White_hall,5,500,84,13
Transfalgar_square,3,600,85,24
Liverpool_station,2,500,86,35
Parklane,4,1400,87,37
White_chapel,3,120,88,3
First_chance,4,4,89,7
Bow_street,3,420,90,16
Water_works,5,400,91,28
Parklane,5,1750,92,37
King_cross_station,2,500,93,5
Bow_street,4,560,94,16
Conventry_street,4,880,95,27
Regent_street,2,520,96,31
First_community_chest,2,2,97,2
First_chance,5,5,98,7
Marlborough_street,4,560,99,18
Transfalgar_square,4,800,100,24
Go_to_jail,4,4,101,30
Bow_street,5,700,102,16
Vine_street,3,480,103,19
Picadilly,6,1440,104,29
Liverpool_station,3,750,105,35
Income_Tax,4,8000,106,4
Bow_street,6,840,107,16
Transfalgar_square,5,1000,108,24
Oxford_street,4,1040,109,32
Bond_street,1,280,110,34
Mayfair,2,1000,111,39
First_community_chest,3,3,112,2
Pentoville,4,320,113,9
Second_community_chest,4,4,114,17
Transfalgar_square,6,1200,115,24
Oxford_street,5,1300,116,32
White_chapel,4,160,117,3
Euston,2,120,118,8
Maryleborne_station,2,500,119,15
Strand,5,900,120,21
Regent_street,3,780,121,31
Old_kent,4,80,122,1
Just_visiting,1,1,123,10
Vine_street,4,640,124,19
